hand	heroPosition	heroHole	villainHole	board	winningsChips	winningsBb	decisions	villainObservations	action
1266	Button	2c6d	KcAc	AhKhQh4h8d	-20000	-200.000	4	3	b250b750b1250b6750b12250b20000c///
1267	BigBlind	5cKh	6d7s	AdTd4d7c5d	1800	18.000	5	6	b200b300c/kk/kk/kb1500b3000f
1268	Button	9cQc	5c6c	AhTc5s4d3d	-750	-7.500	4	5	b250c/kk/b250b500c/kk
1269	BigBlind	3cJc	5d9s		200	2.000	1	2	b200b300f
1270	Button	Qc3s	Kh6s	Jc5c2dAd9d	-250	-2.500	4	4	b250c/kk/kk/kk
1271	BigBlind	9cAd	Td8s	Qc5c2hThJh	-1200	-12.000	4	5	b200b300c/b300c/b600c/kk
1272	Button	3c9s	JcJh	KsKh6h7s7c	-4250	-42.500	5	7	b250b750b1250c/kk/b250b500c/b1250b2500c
1273	BigBlind	8dJs	5d2s		50	0.500	0	1	f
1274	Button	QhJs	5cTh	KdJc8c	500	5.000	2	3	b250c/b250b500f
1275	BigBlind	5cQd	Qc9s	Qh6c3d8sKd	-4750	-47.500	4	5	b200b300c/b450c/b1150c/b2850c
1276	Button	3d9h	2d4h		100	1.000	1	1	b250f
1277	BigBlind	Jc7d	8c7h	Js9h8s2d	750	7.500	3	4	b200b300c/b450c/b750f
1278	Button	Qc5s	5c4h	AhTs4c2dTh	500	5.000	4	6	b250c/kb250c/kk/kb500f
1279	BigBlind	JcJh	8hQh		1800	18.000	2	3	b200b450b1800b3500f
1280	Button	6cKs	Kh7s	7c3h2h8h4s	-1500	-15.000	4	6	b250c/kb250c/kk/b500b1000c
1281	BigBlind	3c8c	5h8h	Ah6d4h	-4800	-48.000	4	4	b200b300c/b300b2400b4500b19700f
1282	Button	Ah7s	9c5d		100	1.000	1	1	b300f
1283	BigBlind	8d7s	6c4s		200	2.000	1	2	b200b300f
1284	Button	5dQh	QcTs	QsTd7sAd	4500	45.000	4	6	b250c/kb400c/kb1000b3850b6700f
1285	BigBlind	8c5h	TdTs	Ac8h7c3d9c	1200	12.000	5	6	b200b300c/b300c/kk/kb600b1200f
1286	Button	7h5s	6s7s	Ah6c4sQc2s	-2500	-25.000	5	6	b250b750b1250c/kb1250c/kk/kk
1287	BigBlind	3cAh	9h3s		50	0.500	0	1	f
1288	Button	QdKh	6d3h		100	1.000	1	1	b250f
1289	BigBlind	7h6s	2hKs	Qc8s5h	300	3.000	2	3	b200b300c/b300f
1290	Button	ThAs	Kh5s	Js5h2sTd6c	3750	37.500	4	7	b300c/kb300c/kb900c/kb2250c
1291	BigBlind	5c2h	TdKs	Qs9s4s3c4d	1200	12.000	5	6	b200b300c/b300c/kk/kb600b1200f
1292	Button	8d4s	9cKs	8s6c4d	250	2.500	2	3	b250c/kb400f
1293	BigBlind	QdQh	4cKs	Kd8h5s4d8d	-2300	-23.000	4	5	b200b450c/b700c/b1150c/kk
1294	Button	6s8s	8d5s	Ks6c3c	250	2.500	2	3	b250c/kb400f
1295	BigBlind	5c2d	KdAh	Ks5s5hTsQh	20000	200.000	4	5	b200b300b1800b3300c/b4950c/b11750c/
1296	Button	2c8d	9dTh	Ks8h4s	250	2.500	2	3	b250c/kb400f
1297	BigBlind	Qh7s	KdKh		-3300	-33.000	3	3	b200b300b1800b3300b20000f
1298	Button	3c2s	2d2h	9s8c6sQsAh	-500	-5.000	5	5	cb300b500c/kk/kk/kk
1299	BigBlind	5cAs	4cKd	Kc6d3hQhKs	-18300	-183.000	6	7	b200b300c/kk/kk/kb1500b3000b10500b18000c
1300	Button	8d7s	2c9c	JhJd5sJs6h	500	5.000	4	5	b250c/kk/kk/b250b500f
1301	BigBlind	8cTh	KcJd	AdJcTd4c5c	-6600	-66.000	5	6	b200b300b1800b3300c/kk/kk/b3300c
1302	Button	8dKs	5c4d	Kc4s3sJh	650	6.500	3	5	b250c/kb400c/kb1000f
1303	BigBlind	AcTd	6c3s	5s4s2hQd9d	-20000	-200.000	6	6	b200b450c/b700b1550b2400c/b2850b9150b15450b17150c/
1304	Button	4dJs	4c6d	Qc7s2s	250	2.500	2	3	b250c/kb250f
1305	BigBlind	AhAs	7d6h	Kc5h2c	450	4.500	2	3	b200b450c/b700f
1306	Button	4hQs	Qc6s	9s8s5cAd7d	-5250	-52.500	5	6	b250c/kk/kk/b250b500b2750b5000c
1307	BigBlind	7dKd	4hAh	Qd9s5c	400	4.000	3	4	b200b300c/kb100b200f
1308	Button	JcKc	4c5h	Qs7h4h	1800	18.000	3	4	b300c/kb300b1500b2700f
1309	BigBlind	Jc4h	9c5d	AhQc3h	300	3.000	2	3	b200b300c/b300f
1310	Button	TcJs	9hAs	8d8c7dKs9c	1000	10.000	4	7	b250c/kb250c/kb500c/kb1500f
1311	BigBlind	3s6s	6cKc	AhTd4c4hQs	-600	-6.000	4	5	b200b300c/b300c/kk/kk
1312	Button	JdQh	QdQs	TsTc6sAs2h	-2500	-25.000	5	6	b250b750b1250c/kb1250c/kk/kk
1313	BigBlind	2c9h	KcAs	Ks9c5d4d3c	-16500	-165.000	5	6	b200b300b1800b3300c/b3300c/kk/b9900c
1314	Button	3cTc	9cKh	Th7h5s2d	650	6.500	3	5	b250c/kb400c/kb1000f
1315	BigBlind	7c2d	7d5h		200	2.000	1	2	b200b300f
1316	Button	7c2s	8c5h	KcQcJhTdAd	0	0.000	4	6	ck/kk/b100b200c/kb300c
1317	BigBlind	9c4d	Jc4h		200	2.000	1	2	b200b300f
1318	Button	QdAs	8c3s		100	1.000	1	1	b300f
1319	BigBlind	Ad8s	2sAs	QdTc3h	300	3.000	2	3	b200b300c/b300f
1320	Button	4d2s	QcKd	9h5d3cJs5s	-1000	-10.000	5	6	cb300b500c/kb500c/kk/kk
1321	BigBlind	Qd7h	7d6s	8s6d4dQc8c	3750	37.500	4	5	b200b300c/b300c/b900c/b2250c
1322	Button	2c8h	4cKs	Qd5h2h	250	2.500	2	3	b250c/kb250f
1323	BigBlind	TdTs	AdKh	Th7d4c8s7s	20000	200.000	5	5	b200b450b1800b3150c/b4750c/b11850b12100c/
1324	Button	2cTc	6dQd		750	7.500	2	2	b250b750b1250f
1325	BigBlind	TcJd	4cQc		1800	18.000	2	3	b200b300b1800b3300f
1326	Button	Qh6s	5sAs	9s6h4d5cKs	14650	146.500	5	8	b250b750b1250c/kb1900c/b1350b2700c/kb8800c
1327	BigBlind	ThJs	Qd7h		200	2.000	1	2	b200b300f
1328	Button	5h6s	5d8d	8c7h4h	500	5.000	2	3	b250c/b250b800f
1329	BigBlind	4d9s	5dAs	JhTh3c5sJd	-1200	-12.000	4	5	b200b300c/b300c/b600c/kk
1330	Button	TdAs	AcKh	QdJh3hQh7s	-20000	-200.000	4	4	b300b900b1500b8100b14700c/b5300c//
1331	BigBlind	6c4h	Qd6h		200	2.000	1	2	b200b300f
1332	Button	7c7h	6s7s	Tc8h7d	1800	18.000	3	4	b300b900b1800c/kb2700f
1333	BigBlind	9cTh	Qd9s	AdAc3dJs7s	-500	-5.000	5	6	b200b300c/kb100b200c/kk/kk
1334	Button	6hTs	9dKd	Qd7s7hJdAs	-250	-2.500	4	4	b250c/kk/kk/kk
1335	BigBlind	4h8h	3cJh	AsQc6h	400	4.000	3	4	b200b300c/kb100b200f
1336	Button	5cJh	9d5h	ThTd7h	500	5.000	2	3	b250c/b250b500f
1337	BigBlind	3h4s	2c8c	Qh5d3d	300	3.000	2	3	b200b300c/b300f
1338	Button	Ad4h	3dQd	Ts9h4c	250	2.500	2	3	b250c/kb250f
1339	BigBlind	5c9c	7cAd	AsQd4d5d4h	-1800	-18.000	5	6	b200b300c/b300c/kb600b1200c/kk
1340	Button	Ac7d	AdQs	Jh5h4h4c	300	3.000	3	4	b300c/kk/kb300f
1341	BigBlind	2s6s	4d8d	KdKc5dTdJc	-5400	-54.000	6	7	b200b300c/b300c/kb600b1200c/kb1800b3600c
1342	Button	7sTs	Jd2s		100	1.000	1	1	b250f
1343	BigBlind	3cQh	6dQd	AcKs7c5s	1800	18.000	4	5	b200b300c/kk/kb1500b3000f
1344	Button	Ac4h	TcQc	Td9s8cQh6c	6750	67.500	5	7	b250b750b1250c/kb1250c/kk/b4250b8500f
1345	BigBlind	4c6s	Jc5s		200	2.000	1	2	b200b300f
1346	Button	7dAd	3s8s		100	1.000	1	1	b300f
1347	BigBlind	4sQs	5d5h	KhKd8dAc7c	-300	-3.000	4	5	b200b300c/kk/kk/kk
1348	Button	TcAc	6d4h		100	1.000	1	1	b300f
1349	BigBlind	TsJs	2c3h		50	0.500	0	1	f
1350	Button	3c9h	Jc7h	KdJd9dTcQc	0	0.000	4	5	ck/kb100c/kk/kk
1351	BigBlind	5c5d	Ad7h	Qs4d3s	300	3.000	2	3	b200b300c/b300f
1352	Button	5d9h	JcQh	8h5s4c	1500	15.000	3	4	b250b750b1250c/b250b2300f
1353	BigBlind	JcJs	7hKs	Ts5h3s	450	4.500	2	3	b200b450c/b700f
1354	Button	Jd9s	2d6s		100	1.000	1	1	b250f
1355	BigBlind	6h5s	3c5c	AcKsJh	300	3.000	2	3	b200b300c/b300f
1356	Button	6cAh	7d8s	9s7c2cAc	650	6.500	3	5	b250c/kb400c/kb1000f
1357	BigBlind	8hAs	Ah3s	Ts7c6s5d	600	6.000	3	4	b200b300c/b300c/b600f
1358	Button	Tc3h	2c3c	Qd8d4h9d	250	2.500	3	4	b250c/kk/kb250f
1359	BigBlind	Ad8h	6c4s		200	2.000	1	2	b200b300f
1360	Button	2c3s	6d3h		100	1.000	1	1	b250f
1361	BigBlind	5hJs	3c5c	9c8c3d	-3000	-30.000	4	4	b200b300c/b300b1500b2700b19700f
1362	Button	2h7s	TdQd	Tc9c4h6sTs	-3250	-32.500	5	6	b250b750b1250c/kk/b1000b2000c/kk
1363	BigBlind	QhAh	6dTd	Kc9d4c	3150	31.500	3	4	b200b450b1800b3150c/b3150f
1364	Button	5s8s	6dJh	Ks5c2h	250	2.500	2	3	b250c/kb400f
1365	BigBlind	Ac3h	9h5s	AhKh6c	300	3.000	2	3	b200b300c/b450f
1366	Button	7cTs	9dAs	Kh8h8dAc9h	-250	-2.500	4	4	b250c/kk/kk/kk
1367	BigBlind	7c6s	Qc7d	Ac4h2s	300	3.000	2	3	b200b300c/b300f
1368	Button	5dQd	8c5h	8d7s3cKd3d	500	5.000	4	5	b250c/kk/kk/b250b800f
1369	BigBlind	3dKh	JdKs		1800	18.000	2	3	b200b300b1800b3300f
1370	Button	2cQc	Tc3s		100	1.000	1	1	b250f
1371	BigBlind	3dAd	Td8h	Qc4c2h	400	4.000	3	4	b200b300c/kb100b200f
1372	Button	JdQd	3hKs		100	1.000	1	1	b300f
1373	BigBlind	Kd3h	5cKs	AsJd7h9c	1200	12.000	4	5	b200b300c/kk/kb900b1800f
1374	Button	6cAd	5h6h	9c8c3c9hQc	12300	123.000	5	8	b300b900b1500c/b3900b7800c/b1500b3000c/kb7700f
1375	BigBlind	2c2d	9c9s	AhQd4dAcKs	-300	-3.000	4	5	b200b300c/kk/kk/kk
1376	Button	2d6d	9c3d		100	1.000	1	1	b250f
1377	BigBlind	3d3h	6cKc	QsJhTh7sJc	2700	27.000	5	6	b200b300c/kk/kk/b300b2400b4500f
1378	Button	Td5h	Qh5s	6h6c3c2h	3000	30.000	4	5	b250c/kk/b250b500b2750b5000f
1379	BigBlind	Td9s	JsAs	AdJh2dQhKc	20000	200.000	7	7	b200b300c/kb100b200b1500b2800c/kb7700b15400b16900c/
1380	Button	9cAd	6hAh	Ts9d7d	1500	15.000	3	4	b300b900b1500c/kb2250f
1381	BigBlind	2h5h	5dTh	Kd8c3s	300	3.000	2	3	b200b300c/b300f
1382	Button	3h7s	6h2s	Qd4s3cJc3s	600	6.000	4	6	ck/kb150c/kk/b350b1000f
1383	BigBlind	9d6s	8dQs	Tc5h5dAhTs	0	0.000	4	5	b200b300c/kk/kk/kk
1384	Button	6dQd	KhQs	Ad4d2h	1250	12.500	3	4	b250b750b1250c/kb1900f
1385	BigBlind	JdAs	2d3d		200	2.000	1	2	b200b300f
1386	Button	Qd5h	KhAh	QsJcTs9s8s	-20000	-200.000	4	3	b250b750b1250b6750b12250b20000c///
1387	BigBlind	8c6d	JcTd	QcJd6h3d4c	-1200	-12.000	4	5	b200b300c/kk/b300c/b600c
1388	Button	7h5s	4cKh	9h5h2s	250	2.500	2	3	b250c/kb400f
1389	BigBlind	Ah4s	8c7d	AdJs9dQs	2850	28.500	4	5	b200b300c/b450b1500b2550c/b2850f
1390	Button	AcKh	8cAh	8s7c6cJd5h	-900	-9.000	4	5	b300c/b300b600c/kk/kk
1391	BigBlind	9c2h	3dKs	AhQcTc3cQh	-11400	-114.000	6	7	b200b300c/b300b2400b4500c/kb3300b6600c/kk
1392	Button	JcAc	TcJd	Qh7s5d3s9d	5200	52.000	5	7	b300b900b1800c/b100b200c/kk/b1600b3200c
1393	BigBlind	3c8h	4dKs	QdTd5h	300	3.000	2	3	b200b300c/b300f
1394	Button	4dJd	KdTs	Qs7c3hJs9s	-14850	-148.500	5	8	b250c/kb250c/kb750c/kb1900b7750b13600c
1395	BigBlind	Qh8s	6d3s	As5s3c7d	1800	18.000	4	5	b200b300c/b300c/kb1200b2400f
1396	Button	Kc9h	8c5s	Ks4s4h	250	2.500	2	3	b250c/kb400f
1397	BigBlind	6d9h	4cJh	Kh4s2h	1800	18.000	4	5	b200b300c/kb100b200b1500b2800f
1398	Button	Kc6s	4c6d	Js8s6h	250	2.500	2	3	b250c/kb400f
1399	BigBlind	9hJs	JcQd	Ts8h3d9s2h	-20000	-200.000	5	5	b200b300c/b300c/b600b3000b5400b19400c/
1400	Button	7dTh	QhAh	Js3h2h5d9c	-1250	-12.500	5	5	b250b750b1250c/kk/kk/kk
1401	BigBlind	6c3h	9sAs	Th5d4c	300	3.000	2	3	b200b300c/b300f
1402	Button	4dKd	Kh7s	Jd5h3hTd	250	2.500	3	4	b250c/kk/kb250f
1403	BigBlind	Jc2h	8d4s		200	2.000	1	2	b200b300f
1404	Button	JcKs	3h8s		100	1.000	1	1	b250f
1405	BigBlind	AdKh	4cJd		200	2.000	1	2	b200b450f
1406	Button	8d9s	5hTh	KdJs6s9c	250	2.500	3	4	b250c/kk/kb400f
1407	BigBlind	2c9h	6dTd	Ks7h3d	3300	33.000	3	4	b200b300b1800b3300c/b3300f
1408	Button	3hQs	Qc2d	KcTs3d	250	2.500	2	3	b250c/kb400f
1409	BigBlind	Tc9d	ThTs	9s8d4cJd3c	5700	57.000	5	6	b200b300c/b450b1500b2550c/b2850c/b8550f
1410	Button	4d8d	2hJs		100	1.000	1	1	b250f
1411	BigBlind	2sAs	Qd7h	QsJh9h7d9d	-500	-5.000	5	6	b200b300c/kk/kb100b200c/kk
1412	Button	Qc2h	8d7h	Qs9s4h	250	2.500	2	3	b250c/kb400f
1413	BigBlind	4c6c	8c2s		50	0.500	0	1	f
1414	Button	Kc8h	3sKs		750	7.500	2	2	b250b750b1250f
1415	BigBlind	7dTd	2cAh	Qh5s5c6h7h	300	3.000	4	5	b200b300c/kk/kk/b450f
1416	Button	9c5s	8c4d		100	1.000	1	1	b250f
1417	BigBlind	6cTd	Kd2s	Ks9h7s2d8c	7500	75.000	5	6	b200b300c/kk/b300b1500b2700c/b4500c
1418	Button	9hQs	QcAh	Ad8c3cAs9c	-12250	-122.500	5	6	b250b750b1250c/kk/kk/b5500b11000c
1419	BigBlind	8h8s	5cQs		200	2.000	1	2	b200b300f
1420	Button	Td8s	KhTs	Ac5d4h2c2d	-250	-2.500	4	4	b250c/kk/kk/kk
1421	BigBlind	5c7h	7dJd	AcTs2c4d	3900	39.000	5	6	b200b300b1800b3300c/kb300b600c/b3900f
1422	Button	AcTh	Jc5s		100	1.000	1	1	b300f
1423	BigBlind	Qh4s	3c9c		200	2.000	1	2	b200b300f
1424	Button	6cJd	9c2s		100	1.000	1	1	b250f
1425	BigBlind	6d9s	TdQs	Jd5d3h8dAh	-500	-5.000	5	6	b200b300c/kb100b200c/kk/kk
1426	Button	5d8h	Tc4s	Js8d2s	250	2.500	2	3	b250c/kb400f
1427	BigBlind	7cTd	2cTc	Qc7d3s	300	3.000	2	3	b200b300c/b300f
1428	Button	3c6c	2cJs		100	1.000	1	1	b250f
1429	BigBlind	KcTd	QcJs	AsAcTh2s	600	6.000	3	4	b200b300c/b300c/b900f
1430	Button	7c8s	QdKh	As5h3d	1250	12.500	3	4	b250b750b1250c/kb1250f
1431	BigBlind	6h8h	8c7h	ThTc9c4cKs	0	0.000	7	8	b200b300c/kb100b200c/kb1300b2600c/kb2300b4600c
1432	Button	Td2h	7d4s		100	1.000	1	1	b250f
1433	BigBlind	8hKh	6dKd	QhJc3dKc7d	7150	71.500	5	6	b200b300c/kk/b450b1500b2550c/b4300c
1434	Button	4c7d	2d5h		100	1.000	1	1	b250f
1435	BigBlind	2sAs	8d4h		200	2.000	1	2	b200b300f
1436	Button	7dJd	5hJs	Kd9c6c7sJc	1900	19.000	4	6	b250c/kk/b250b500c/kb1150c
1437	BigBlind	Ad4s	Qd5h		200	2.000	1	2	b200b300f
1438	Button	AcJd	2s4s	9h9d4h6c	750	7.500	3	5	b300c/kb450c/kb750f
1439	BigBlind	2dJh	9dTs	6h6c4h9hKc	3200	32.000	7	8	b200b300c/kb100b200c/kb300b600c/kb2100b4200f
1440	Button	2d3s	Td4h	AsJd8d5h	100	1.000	3	4	ck/kk/kb100f
1441	BigBlind	6h5s	Kc3h	KdQcJh4c3d	-1800	-18.000	5	6	b200b300c/b300c/kk/kb600b1200c
1442	Button	8cAd	6h8h	KdQd4c	1500	15.000	3	4	b300b900b1500c/kb1500f
1443	BigBlind	6cKs	3c9h		50	0.500	0	1	f
1444	Button	4c3d	7h7s	AdJh2c5h	1250	12.500	4	5	b250b750b1250c/kk/kb1900f
1445	BigBlind	4dKs	6d3h	QsJd8d	400	4.000	3	4	b200b300c/kb100b200f
1446	Button	TcJc	KdKh	Ks7s2h8h3h	-20000	-200.000	4	3	b250b750b1250b6750b12250b20000c///
1447	BigBlind	Ac4s	Kd7h	8c6c5sQh2c	6000	60.000	5	6	b200b300c/b300c/b600c/kb2400b4800c
1448	Button	7dAh	ThKs	Ad9h2c4d	650	6.500	3	5	b250c/kb400c/kb1000f
1449	BigBlind	4dTd	4hJh	Kc8c2cKh	600	6.000	3	4	b200b300c/b300c/b600f
1450	Button	7c2s	5dQh	Th6s4s5s6d	-300	-3.000	4	5	ck/kk/kk/b100b200c
1451	BigBlind	9hQs	Jd7s		200	2.000	1	2	b200b300f
1452	Button	9cKh	6h7s	QdTh9h	250	2.500	2	3	b250c/kb400f
1453	BigBlind	2c3d	7c5h		200	2.000	1	2	b200b300f
1454	Button	Ac8s	5d2s		100	1.000	1	1	b250f
1455	BigBlind	5c7h	4c6h	Th6d3d7s6s	-1900	-19.000	4	5	b200b300c/kk/b450c/b1150c
1456	Button	5cAs	2d4d	KhKdJdAd7d	-5400	-54.000	4	7	b300c/b300b600c/b900b1800c/kb2700c
1457	BigBlind	Kc4h	Tc5s	Ks8h3h	300	3.000	2	3	b200b300c/b450f
1458	Button	2sJs	Td6h	Qc7d2d	250	2.500	2	3	b250c/kb400f
1459	BigBlind	3c3d	9h7s	8s8d7h2cQs	-2400	-24.000	4	5	b200b300c/b300c/b600c/b1200c
1460	Button	2d9s	2c8s	AcKdKcJcJd	0	0.000	4	5	ck/kk/kk/b100b200c
1461	BigBlind	8hTs	7c6h	Kc8s7d	300	3.000	2	3	b200b300c/b450f
1462	Button	Jc3d	6d6s	KdTs7cJdKh	2500	25.000	5	7	b250b750b1250c/kk/kb1250c/kb3750f
1463	BigBlind	5c2s	9cTd	AcKcQs8cKs	3600	36.000	5	6	b200b300c/b300c/b600c/kb2400b4800f
1464	Button	Kd2s	9h6s	7h6d3cTd8c	-7500	-75.000	5	7	b250c/b250b500c/kb750b3750b6750c/kk
1465	BigBlind	KdTs	6cKs	As7c4h2s8s	7200	72.000	6	7	b200b300c/kk/kk/kb900b1800b6900b12000f
1466	Button	8cQd	7sAs	QhTc8d	250	2.500	2	3	b250c/kb400f
1467	BigBlind	Qh3s	5d2s		50	0.500	0	1	f
1468	Button	5dAd	KdQs	KsQhJd7d9d	3000	30.000	4	7	b300c/kb300c/kb600c/kb1800c
1469	BigBlind	4s6s	7s9s	9d8d4d	300	3.000	2	3	b200b300c/b300f
1470	Button	Ah3s	Qc7s		100	1.000	1	1	b300f
1471	BigBlind	Qc2s	8d8h	As9d6d6c3h	-600	-6.000	4	5	b200b300c/b300c/kk/kk
1472	Button	3cTh	QdJh	Qs8s4c4hJc	4500	45.000	5	7	b250b750b1250c/b250b500c/kk/b2750b5500f
1473	BigBlind	AcTs	Kc9h	4s3d2d	300	3.000	2	3	b200b300c/b300f
1474	Button	Ac3d	3c3h	7c6d3sJdTd	-20000	-200.000	4	5	b250c/kb400b1250b2850b13250b19750c//
1475	BigBlind	4c2s	5s6s	9h6h6cJhAh	-3000	-30.000	5	6	b200b300c/b300c/kb1200b2400c/kk
1476	Button	QdAh	KdTh		900	9.000	2	2	b300b900b1500f
1477	BigBlind	9sKs	9c3d		50	0.500	0	1	f
